variant,side,entry_time,entry_price,stop,target,size,exit_time,exit_price,pnl
"0.50% stop, ATR×3.0",long,2025-09-22 00:00:00,114335.9,113764.2205,115242.5857142857,8,2025-09-22 05:00:00,113764.2205,-5000.0
"0.50% stop, ATR×3.0",long,2025-09-22 06:00:00,112748.8,112185.056,114450.80714285714,8,2025-09-22 09:00:00,112185.056,-5000.0
"0.50% stop, ATR×3.0",short,2025-09-23 01:00:00,112115.2,112675.77599999998,110626.47142857143,8,2025-09-23 05:00:00,112675.77599999998,-5000.0
"0.50% stop, ATR×3.0",short,2025-09-24 03:00:00,111639.7,112197.89849999998,110059.8357142857,8,2025-09-24 04:00:00,112197.89849999998,-5000.0
"0.50% stop, ATR×3.0",long,2025-09-24 10:00:00,112804.3,112240.2785,114141.0142857143,8,2025-12-28 09:00:00,112240.2785,-5000.0
"0.50% stop, ATR×3.0",long,2025-12-28 10:00:00,87828.7,87389.55649999999,94478.41428571429,11,2025-12-28 15:00:00,87797.7,-352.95979560211646
"0.50% stop, ATR×3.0",long,2025-12-29 00:00:00,88262.2,87820.889,89034.57142857142,11,2025-12-29 02:00:00,89034.57142857142,8750.874423835125
"0.50% stop, ATR×3.0",long,2025-12-29 03:00:00,90091.6,89641.142,91360.45,11,2025-12-29 07:00:00,89641.142,-5000.0
"0.50% stop, ATR×3.0",long,2025-12-30 08:00:00,87827.1,87387.9645,88867.82142857143,11,2025-12-30 14:00:00,88867.82142857143,11849.661762387916
"0.50% stop, ATR×3.0",long,2025-12-31 01:00:00,88604.7,88161.6765,90137.12142857142,11,2025-12-31 15:00:00,87945.0,-7445.4289670864355
"0.50% stop, ATR×3.0",short,2026-01-01 04:00:00,87587.3,88025.2365,86620.29285714286,11,2026-01-01 12:00:00,88025.2365,-5000.0
"0.50% stop, ATR×3.0",long,2026-01-02 03:00:00,88946.3,88501.56850000001,89860.82857142857,11,2026-01-02 10:00:00,89860.82857142857,10281.805667336163
"0.50% stop, ATR×3.0",long,2026-01-03 02:00:00,90336.3,89884.6185,92348.27142857143,11,2026-01-03 06:00:00,89884.6185,-5000.0
"0.50% stop, ATR×3.0",short,2026-01-03 07:00:00,89583.0,90030.915,88379.25,11,2026-01-03 12:00:00,90030.915,-5000.0
"0.50% stop, ATR×3.0",long,2026-01-04 00:00:00,91347.7,90890.96149999999,92182.08571428571,10,2026-01-04 15:00:00,91332.9,-162.0183102585253
"0.50% stop, ATR×3.0",long,2026-01-05 00:00:00,92404.9,91942.8755,93351.33571428571,10,2026-01-05 01:00:00,93351.33571428571,10242.267610112882
"0.50% stop, ATR×3.0",short,2026-01-05 02:00:00,93046.9,93512.13449999999,91904.49999999999,10,2026-01-05 14:00:00,93512.13449999999,-5000.0
"0.50% stop, ATR×3.0",short,2026-01-06 07:00:00,93258.1,93724.3905,91983.89285714286,10,2026-01-06 11:00:00,93724.3905,-5000.0
"0.50% stop, ATR×3.0",short,2026-01-07 01:00:00,92450.1,92912.3505,90079.15714285715,10,2026-01-07 02:00:00,92912.3505,-5000.0
"0.50% stop, ATR×3.0",short,2026-01-08 02:00:00,90952.9,91407.66449999998,89236.96428571429,10,2026-01-08 15:00:00,90790.5,1785.5395484915562
"0.50% stop, ATR×3.0",short,2026-01-09 07:00:00,90753.1,91206.8655,89585.92857142858,11,2026-01-09 15:00:00,91183.9,-4746.94528341174
"0.50% stop, ATR×3.0",long,2026-01-12 00:00:00,91255.6,90799.322,92243.54285714286,10,2026-01-12 02:00:00,92243.54285714286,10826.106640500371
"0.50% stop, ATR×3.0",long,2026-01-14 03:00:00,95722.3,95243.6885,98083.08571428573,10,2026-01-14 04:00:00,95243.6885,-5000.0
"0.50% stop, ATR×3.0",short,2026-01-16 03:00:00,95356.0,95832.77999999998,93492.61428571428,10,2026-01-16 06:00:00,95832.77999999998,-5000.0
"0.50% stop, ATR×3.0",long,2026-01-19 00:00:00,92720.1,92256.4995,93998.42142857144,10,2026-01-19 01:00:00,92256.4995,-5000.0
"0.50% stop, ATR×3.0",long,2026-01-19 02:00:00,92570.0,92107.15,94001.64285714286,10,2026-01-19 15:00:00,93063.0,5325.6994706707765
"0.50% stop, ATR×3.0",short,2026-01-20 04:00:00,92069.5,92529.84749999999,90980.67142857143,10,2026-01-20 06:00:00,90980.67142857143,11826.159275640684
"0.50% stop, ATR×3.0",long,2026-01-20 07:00:00,91188.3,90732.3585,92519.37857142858,10,2026-01-20 08:00:00,90732.3585,-5000.0
"0.50% stop, ATR×3.0",long,2026-01-22 06:00:00,90165.1,89714.2745,92199.85,11,2026-01-22 13:00:00,89714.2745,-5000.0
"0.50% stop, ATR×3.0",short,2026-01-23 09:00:00,88978.0,89422.88999999998,87818.8,11,2026-01-23 13:00:00,89422.88999999998,-5000.0
"0.50% stop, ATR×3.0",short,2026-01-24 07:00:00,89608.0,90056.04,88618.12857142856,11,2026-01-24 15:00:00,89279.9,3661.503437193225
"0.50% stop, ATR×3.0",long,2026-01-27 02:00:00,88820.1,88375.9995,90751.24285714286,11,2026-01-27 06:00:00,88375.9995,-5000.0
"0.50% stop, ATR×3.0",long,2026-01-28 09:00:00,89572.5,89124.6375,90870.55714285714,11,2026-01-28 15:00:00,89480.5,-1027.1009517429948
"0.50% stop, ATR×3.0",short,2026-01-29 01:00:00,88603.0,89046.01499999998,86621.8642857143,11,2026-01-29 15:00:00,84950.5,41223.20914641857
"0.50% stop, ATR×3.0",short,2026-01-30 01:00:00,82479.1,82891.49549999999,79356.97857142858,12,2026-01-30 04:00:00,82891.49549999999,-5000.0
"0.50% stop, ATR×3.0",short,2026-01-31 08:00:00,83062.9,83478.21449999999,81686.02857142857,12,2026-01-31 14:00:00,81686.02857142857,16576.250390625006
"0.50% stop, ATR×3.0",short,2026-02-01 06:00:00,78300.1,78691.6005,75117.29285714286,12,2026-02-01 07:00:00,78691.6005,-5000.0
